,Date,ME1_BM1,,ME1_BM2,ME1_BM3,ME1_BM4,ME1_BM5,ME2_BM1,ME2_BM2,ME2_BM3,ME2_BM4,ME2_BM5,ME3_BM1,ME3_BM2,ME3_BM3,ME3_BM4,ME3_BM5,ME4_BM1,ME4_BM2,ME4_BM3,ME4_BM4,ME4_BM5,ME5_BM1,ME5_BM2,ME5_BM3,ME5_BM4,ME5_BM5
444,7/1/1963,0.05916,,-0.211668607,-0.064987949,-0.228172781,-0.429138404,-0.375329571,-0.154112276,-0.398695916,-0.596283698,-0.403938961,-0.496232687,-0.446751455,-0.36250608,-0.649544608,-0.521689579,-0.33060056,-0.540017212,-0.599512228,-0.553077353,-0.526744756,-0.1773096,-0.102013406,0.046577475,-0.281729145,-0.386014934
445,8/1/1963,0.44928,0.50844,0.03844721,0.061386489,0.2073084528996595,0.5122518651730348,0.6530324330306047,0.556483532,0.5811049876430694,0.5981180109500963,1.106569724050624,0.6423402181357215,0.7557689896271448,0.8406775639215927,0.7037686819916178,0.6447197765879416,0.7877244442133682,0.7265428009287398,1.0351534747093036,1.281172642310352,0.7076319952175927,1.0263757432989327,0.7534722217156004,0.8521419330004744,1.5267444732224382,0.9483954622223237
446,9/1/1963,-0.29984,0.2086,-0.069971846,-0.34795894,-0.481172338,-0.287951371,-0.688232953,-0.433163529,-0.37157992,-0.507031336,-0.681973121,-0.799036002,-0.53277662,-0.282291217,-0.424681265,-0.53519594,-0.632817944,-0.612494749,-0.573776394,-1.025982762,-0.551216365,-0.500285987,-0.394410902,-0.410678975,-0.231799895,-0.812671262
447,10/1/1963,-0.03499,0.17362,-0.264912937,0.030983696,-0.188606884,0.14688939434871862,0.042836689068072906,0.5103744158222752,0.20560855715812498,0.1975115719815998,0.4157998347596701,0.23026267265754152,-0.129802317,0.32235706503959166,0.25410021067408606,-0.045235804,-0.215109729,-0.059792824,0.2886341905246746,0.7187959674131419,-0.103255678,0.9290476985627192,0.18275613173706787,-0.292265766,0.3168329704654629,-0.105982257
448,11/1/1963,-0.50018,-0.32657,-0.713052715,-0.477503415,-0.401168898,-0.407327859,-0.717099401,-0.472772392,-0.357348957,-0.240331257,-0.232135212,-0.594626932,-0.456436767,-0.423595959,-0.392158745,-0.43114631,-0.330048879,-0.318155526,-0.366348777,0.027565629910599028,0.3983094857162293,-0.477207103,0.016638681734987705,-0.60453397,-0.639898956,0.050423419
449,12/1/1963,-0.37623,-0.7028,-0.297124604,-0.337430474,-0.504074412,-0.390105654,-0.244545463,-0.310233245,-0.032028784,-0.075085505,-0.195625514,-0.091148325,0.1016839112176616,0.046233956647693815,0.074139679,-0.147512724,-0.20038676,0.041570828,0.13223797022328132,0.40935719172630725,0.8485665280784908,0.35969036826604156,0.31410639231236026,0.28895379143959693,0.337275781,0.19019965295458735
450,1/1/1964,0.40575,-0.29705,0.2545073997150357,0.5098564182860426,0.4709215829077292,0.5578166262839904,-0.406189212,-0.266438613,0.43606760706673015,0.05948844,0.45581638521027257,-0.121049158,-0.106640998,0.3194676788683497,0.5142803713535608,0.317258049,-0.247848509,0.16441937917579877,0.033157012,0.4713597297300711,0.3627159758971527,0.4463748245027216,0.5118900519551149,0.17010303912541286,0.23184388023738375,0.099155685
451,2/1/1964,0.27912,-0.01793,0.24674260158007133,0.1945444772178587,-0.164115337,0.4819975010647465,0.10238157961144942,0.098100812,0.25235718081580427,0.1677298777269404,0.7637628764930009,-0.117330682,0.34232947094195026,0.10341235373710381,0.4926051595785777,0.4518827041969066,0.27376525,0.10785154546309314,0.35327395912013215,1.1842998611011517,0.5819322385864291,0.18271671339504417,-0.09309526,0.019726094228760475,0.6494282371981636,0.47855594325854717
452,3/1/1964,-0.02276,-0.04069,0.054740320424586514,0.1565697307600976,0.41153000959483743,0.1710578358191101,0.20442468440266176,0.3405471063650595,0.385801621,0.8196077719573509,0.7730184051686504,-0.260300733,0.3346573973993384,0.6364549631106716,0.8441627349835629,0.9174976244799002,0.1325350836156234,0.38266787222602144,0.8346501181898331,1.1692791377226466,-0.084250766,0.039913457,-0.038703622,0.6194606694115348,0.6156302990648987,-0.163091493
453,4/1/1964,-0.28008,-0.32077,0.21689350745085723,-0.258606595,-0.378113003,-0.350802065,-0.250511103,-0.823424913,-0.080733492,-0.539501913,-0.319005874,-0.454579634,-0.432350447,-0.160917342,-0.383795256,-0.398798575,-0.639731189,-0.128851426,0.1799873472724335,-0.763644542,-0.599234186,-0.158539344,0.12223043868548555,-0.028933398,-0.382008279,0.23985676530447053
