YEAR,MONTH,MER,SMB ,HML ,RF
1978,10,-11.91,-9.88,1.36,0.68
1978,11,2.71,3.01,-2.22,0.7
1978,12,0.88,1.24,-2.19,0.78
1979,1,4.23,3.66,2.27,0.77
1979,2,-3.56,0.45,1.2,0.73
1979,3,5.68,3.19,-0.67,0.81
1979,4,-0.06,2.18,1.05,0.8
1979,5,-2.21,0.16,1.32,0.82
1979,6,3.85,1.17,1.48,0.81
1979,7,0.82,1.26,1.7,0.77
1979,8,5.53,2.08,-1.55,0.77
1979,9,-0.82,-0.25,-0.87,0.83
1979,10,-8.1,-3.34,-1.86,0.87
1979,11,5.21,2.74,-3.25,0.99
1979,12,1.79,4.17,-1.98,0.95
1980,1,5.51,1.65,1.8,0.8
1980,2,-1.22,-1.82,0.62,0.89
1980,3,-12.9,-6.64,-1.06,1.21
1980,4,3.97,0.97,1.06,1.26
1980,5,5.26,2.16,0.39,0.81
1980,6,3.06,1.67,-0.89,0.61
1980,7,6.49,4.25,-6.3,0.53
1980,8,1.8,3.92,-2.64,0.64
1980,9,2.19,0.89,-4.79,0.75
1980,10,1.06,2.47,-2.74,0.95
1980,11,9.59,-3.45,-8.35,0.96
1980,12,-4.52,-0.28,2.68,1.31
1981,1,-5.04,3,6.84,1.04
1981,2,0.57,-0.31,0.97,1.07
1981,3,3.56,3.58,0.67,1.21
1981,4,-2.11,4.42,2.26,1.08
1981,5,0.11,2,-0.43,1.15
1981,6,-2.36,-0.85,5.13,1.35
1981,7,-1.54,-2.18,-0.66,1.24
1981,8,-7.04,-1.95,4.84,1.28
1981,9,-7.17,-2.66,5.2,1.24
1981,10,4.92,2.13,-4.21,1.21
1981,11,3.36,-0.96,1.9,1.07
1981,12,-3.65,1.17,0.74,0.87
1982,1,-3.24,-1.29,3.17,0.8
1982,2,-5.86,0.49,6.1,0.92
1982,3,-1.87,-0.19,3.78,0.98
1982,4,3.27,1.51,-2.78,1.13
1982,5,-3.99,0.47,1.81,1.06
1982,6,-3.09,-0.4,1.54,0.96
1982,7,-3.19,0.84,0.15,1.05
1982,8,11.14,-4.11,1.16,0.76
1982,9,1.29,2.88,0.34,0.51
1982,10,11.3,2.35,-3.68,0.59
1982,11,4.67,4.77,-1.96,0.63
1982,12,0.55,-0.18,0.01,0.67
1983,1,3.6,2.7,-0.86,0.69
1983,2,2.59,3.23,0.67,0.62
1983,3,2.82,1.77,2.07,0.63
1983,4,6.67,0.53,0.6,0.71
1983,5,0.52,6.16,-1.4,0.69
1983,6,3.07,0.91,-3.87,0.67
1983,7,-4.07,1.46,5.62,0.74
1983,8,-0.5,-4.3,5.55,0.76
1983,9,0.91,0.56,1.09,0.76
1983,10,-3.44,-3.6,5.06,0.76
1983,11,2.16,2.04,-0.62,0.7
1983,12,-1.78,-0.29,1.67,0.73
1984,1,-1.92,-0.43,7.63,0.76
1984,2,-4.82,-1.71,3.36,0.71
1984,3,0.63,0.07,0.48,0.73
1984,4,-0.51,-1.2,1.29,0.81
1984,5,-5.97,0.03,0.26,0.78
1984,6,1.82,-0.32,-2.6,0.75
1984,7,-2.74,-2.21,0.49,0.82
1984,8,10.28,-0.25,-1.85,0.83
1984,9,-0.8,0.2,5.32,0.86
1984,10,-0.84,-1.2,0.51,1
1984,11,-1.76,-0.62,4.08,0.73
1984,12,1.84,-0.6,-0.17,0.64
1985,1,7.99,3.27,-5.43,0.65
1985,2,1.22,0.76,-0.12,0.58
1985,3,-0.84,-1.15,4.1,0.62
1985,4,-0.96,0.14,3.73,0.72
1985,5,5.09,-2.25,-0.86,0.66
1985,6,1.27,0.46,0.4,0.55
1985,7,-0.74,2.85,-1.63,0.62
1985,8,-1.02,-0.34,2.28,0.55
1985,9,-4.54,-1.58,1.32,0.6
1985,10,4.02,-1.57,0.78,0.65
1985,11,6.48,0.23,-2.87,0.61
1985,12,3.88,-0.49,-1.53,0.65
1986,1,0.65,1.22,0.53,0.56
1986,2,7.13,-0.65,-0.94,0.53
1986,3,4.88,-0.52,-0.44,0.6
1986,4,-1.31,2.84,-2.85,0.52
1986,5,4.62,-1.32,-0.11,0.49
1986,6,1.03,-0.91,1.4,0.52
1986,7,-6.45,-3.38,4.78,0.52
1986,8,6.07,-4.17,3.52,0.46
1986,9,-8.6,2.28,3.19,0.45
1986,10,4.66,-2.48,-1.32,0.46
1986,11,1.17,-1.92,-0.06,0.39
1986,12,-3.27,0.08,0.37,0.49
1987,1,12.47,-1.81,-3.18,0.42
1987,2,4.39,3.49,-5.99,0.43
1987,3,1.64,0.37,1.66,0.47
1987,4,-2.11,-1.69,-0.33,0.44
1987,5,0.11,-0.53,0.13,0.38
1987,6,3.94,-2.18,1.07,0.48
1987,7,3.85,-0.67,0.66,0.46
1987,8,3.52,-0.72,-0.9,0.47
1987,9,-2.59,0.52,0.28,0.45
1987,10,-23.24,-8.43,4.23,0.6
1987,11,-7.77,2.77,3.14,0.35
1987,12,6.81,0.13,-4.49,0.39
1988,1,4.21,-0.77,5.08,0.29
1988,2,4.75,3.36,-1.65,0.46
1988,3,-2.27,6.16,0.74,0.44
1988,4,0.56,0.96,1.69,0.46
1988,5,-0.29,-2.64,2.3,0.51
1988,6,4.79,2.16,-1.07,0.49
1988,7,-1.25,-0.21,2.27,0.51
1988,8,-3.31,0.04,2.03,0.59
1988,9,3.3,-1.25,-0.68,0.62
1988,10,1.15,-2.9,1.71,0.61
1988,11,-2.29,-1.74,1.24,0.57
1988,12,1.49,1.95,-1.55,0.63
1989,1,6.1,-2.14,0.51,0.55
1989,2,-2.25,2.76,0.87,0.61
1989,3,1.57,0.74,0.46,0.67
1989,4,4.33,-0.59,-1.45,0.67
1989,5,3.35,-0.04,-0.82,0.79
1989,6,-1.35,-1.01,2.19,0.71
1989,7,7.2,-4.02,-2.83,0.7
1989,8,1.44,0.51,0.76,0.74
1989,9,-0.76,0.26,-1.35,0.65
1989,10,-3.67,-3.32,-1.07,0.68
1989,11,1.03,-1.25,-1.14,0.69
1989,12,1.16,-2.41,0.24,0.61
1990,1,-7.85,-1.29,0.85,0.57
1990,2,1.11,1.04,0.63,0.57
1990,3,1.83,1.53,-2.89,0.64
1990,4,-3.36,-0.49,-2.55,0.69
1990,5,8.42,-2.56,-3.72,0.68
1990,6,-1.09,1.42,-1.95,0.63
1990,7,-1.9,-3.21,0.06,0.68
1990,8,-10.15,-3.56,1.57,0.66
1990,9,-6.12,-3.65,0.74,0.6
1990,10,-1.92,-5.53,0.27,0.68
1990,11,6.35,0.31,-3.23,0.57
1990,12,2.46,0.77,-1.54,0.6
1991,1,4.69,3.78,-1.93,0.52
1991,2,7.19,3.96,-0.56,0.48
1991,3,2.65,3.9,-1.21,0.44
1991,4,-0.28,0.5,1.44,0.53
1991,5,3.65,-0.36,-0.63,0.47
1991,6,-4.94,0.07,1.17,0.42
1991,7,4.24,-0.92,-1.25,0.49
1991,8,2.32,1.6,-0.78,0.46
1991,9,-1.59,1.63,-1,0.46
1991,10,1.29,0.88,-0.43,0.42
1991,11,-4.19,-0.47,-1.93,0.39
1991,12,10.84,-2.25,-4.03,0.38
1992,1,-0.59,8.47,4.51,0.34
1992,2,1.09,0.88,6.37,0.28
1992,3,-2.66,-1.03,3.65,0.34
1992,4,1.07,-6.12,4.31,0.32
1992,5,0.3,0.4,1.28,0.28
1992,6,-2.34,-3.09,3.4,0.32
1992,7,3.77,-0.45,-0.52,0.31
1992,8,-2.38,-0.1,-0.97,0.26
1992,9,1.19,0.58,-0.23,0.26
1992,10,1.02,2.02,-2,0.23
1992,11,4.13,3.67,-1.43,0.23
1992,12,1.53,1.63,2.59,0.28
1993,1,0.93,2,5.93,0.23
1993,2,0.12,-3.44,6.42,0.22
1993,3,2.3,0.22,1.27,0.25
1993,4,-3.05,-0.65,2.52,0.24
1993,5,2.89,1.96,-3.48,0.22
1993,6,0.31,-0.34,2.6,0.25
1993,7,-0.34,0.92,2.89,0.24
1993,8,3.71,0.17,0.12,0.25
1993,9,-0.12,3.03,-0.22,0.26
1993,10,1.41,2.03,-2.76,0.22
1993,11,-1.89,-1.23,-0.77,0.25
1993,12,1.65,1.22,0.34,0.23
1994,1,2.87,0.39,1.12,0.25
1994,2,-2.55,2.79,-1.57,0.21
1994,3,-4.78,-1.14,1.63,0.27
1994,4,0.68,-0.96,1.72,0.27
1994,5,0.58,-2.11,0.58,0.31
1994,6,-3.03,-0.41,1.74,0.31
1994,7,2.82,-1.81,0.61,0.28
1994,8,4.01,1.41,-2.46,0.37
1994,9,-2.31,3.12,-1.91,0.37
1994,10,1.34,-2.24,-1.65,0.38
1994,11,-4.04,0.27,-0.77,0.37
1994,12,0.86,0.31,-0.19,0.44
1995,1,1.8,-3.5,2.54,0.42
1995,2,3.63,-0.66,1.13,0.4
1995,3,2.19,-0.19,-2.15,0.46
1995,4,2.11,-0.54,1.73,0.44
1995,5,2.9,-2.53,2.2,0.54
1995,6,2.72,3.15,-2.56,0.47
1995,7,3.72,2.1,-1.67,0.45
1995,8,0.55,1.35,2.98,0.47
1995,9,3.35,-2.27,0,0.43
1995,10,-1.52,-3.84,-0.37,0.47
1995,11,3.96,-1.18,0.65,0.42
1995,12,1.03,0.63,0.28,0.49
1996,1,2.26,-2.64,0.29,0.43
1996,2,1.33,1.82,-1.08,0.39
1996,3,0.73,1.53,0.45,0.39
1996,4,2.06,5.25,-4.13,0.46
1996,5,2.36,3.09,-0.89,0.42
1996,6,-1.14,-3.93,2.33,0.4
1996,7,-5.97,-4.29,5.18,0.45
1996,8,2.77,2.44,-0.79,0.41
1996,9,5.01,-0.97,-2.8,0.44
1996,10,0.86,-4.43,4.87,0.42
1996,11,6.25,-4.05,1.45,0.41
1996,12,-1.7,3.1,1.23,0.46
1997,1,4.98,-1.95,-1.51,0.45
1997,2,-0.49,-3.26,5.75,0.39
1997,3,-5.02,-0.4,3.43,0.43
1997,4,4.04,-5.72,0.02,0.43
1997,5,6.74,5.13,-4.08,0.49
1997,6,4.1,1.2,1.54,0.37
1997,7,7.33,-2.73,0.32,0.43
1997,8,-4.15,7.32,1.16,0.41
1997,9,5.35,2.54,0.27,0.44
1997,10,-3.8,-0.79,2.31,0.42
1997,11,2.98,-5.14,1.24,0.39
1997,12,1.32,-2.7,4.1,0.48
1998,1,0.15,-1.02,-1.64,0.43
1998,2,7.04,0.21,-0.59,0.39
1998,3,4.76,-1.17,1.46,0.39
1998,4,0.73,0.03,0.96,0.43
1998,5,-3.07,-3.39,3.35,0.4
1998,6,3.18,-3.35,-1.87,0.41
1998,7,-2.46,-4.92,-1.62,0.4
1998,8,-16.08,-5.65,3.68,0.43
1998,9,6.15,0.08,-3.39,0.46
1998,10,7.13,-3.14,-2.3,0.32
1998,11,6.1,1.2,-3.21,0.31
1998,12,6.16,-0.54,-4.14,0.38
1999,1,3.5,0.78,-4.95,0.35
1999,2,-4.08,-6.08,1.89,0.35
1999,3,3.45,-3.75,-2.78,0.43
1999,4,4.33,3.99,2.38,0.37
1999,5,-2.46,3.36,2.4,0.34
1999,6,4.77,3.11,-3.6,0.4
1999,7,-3.49,2.58,-0.38,0.38
1999,8,-1.38,-0.98,-1.67,0.39
1999,9,-2.79,3.39,-3.54,0.39
1999,10,6.12,-6.7,-3.3,0.39
1999,11,3.37,7.11,-6.12,0.36
1999,12,7.72,7.02,-8.39,0.44
2000,1,-4.74,5.62,-1.46,0.41
2000,2,2.45,21.13,-9.05,0.43
2000,3,5.2,-16.72,7.49,0.47
2000,4,-6.4,-7.04,7.68,0.46
2000,5,-4.42,-6.21,4.91,0.5
2000,6,4.64,12.6,-8.19,0.4
2000,7,-2.51,-3.1,8.38,0.48
2000,8,7.03,-0.68,-1.46,0.5
2000,9,-5.45,-1.89,7.3,0.51
2000,10,-2.76,-3.8,5.69,0.56
2000,11,-10.72,-3.47,12.55,0.51
2000,12,1.19,0.72,7.57,0.5
2001,1,3.13,6.74,-5.28,0.54
2001,2,-10.05,-0.82,12.6,0.38
2001,3,-7.26,0.17,6.52,0.42
2001,4,7.94,0.59,-4.74,0.39
2001,5,0.72,2.52,3.38,0.32
2001,6,-1.94,6.24,-1.2,0.28
2001,7,-2.13,-4.45,5.6,0.3
2001,8,-6.46,2.4,2.52,0.31
2001,9,-9.25,-6.33,1.72,0.28
2001,10,2.46,7.68,-7.94,0.22
2001,11,7.54,-0.34,1.91,0.17
2001,12,1.61,4.61,1.2,0.15
2002,1,-1.44,1.09,3.48,0.14
2002,2,-2.29,-1.13,2.46,0.13
2002,3,4.24,4.21,0.97,0.13
2002,4,-5.2,5.82,4.15,0.15
2002,5,-1.38,-3.28,1.64,0.14
2002,6,-7.21,4.21,0.03,0.13
2002,7,-8.18,-5.24,-3.51,0.15
2002,8,0.5,-2.93,3.2,0.14
2002,9,-10.35,2.36,1.68,0.14
2002,10,7.84,-3.44,-4.14,0.14
2002,11,5.96,3.24,-1.53,0.12
2002,12,-5.76,-0.02,2.38,0.11
2003,1,-2.57,1.32,-0.75,0.1
2003,2,-1.88,-0.45,-1.28,0.09
2003,3,1.09,0.9,-2.1,0.1
2003,4,8.22,0.67,0.88,0.1
2003,5,6.05,4.48,0.01,0.09
2003,6,1.42,1.8,0.38,0.1
2003,7,2.35,5.22,-1.06,0.07
2003,8,2.34,2.69,1.58,0.07
2003,9,-1.24,0.7,0.08,0.08
2003,10,6.08,2.64,1.83,0.07
2003,11,1.35,2,1.81,0.07
2003,12,4.29,-2.76,1.61,0.08
2004,1,2.15,2.52,2.49,0.07
2004,2,1.4,-1.56,0.86,0.06
2004,3,-1.32,1.75,0.25,0.09
2004,4,-1.83,-1.73,-3.04,0.08
2004,5,1.17,-0.24,-0.27,0.06
2004,6,1.86,2.26,1.22,0.08
2004,7,-4.06,-3.83,3.36,0.1
2004,8,0.08,-1.55,1.01,0.11
2004,9,1.6,3,-0.05,0.11
2004,10,1.43,0.11,-0.32,0.11
2004,11,4.54,3.73,1.47,0.15
2004,12,3.43,-0.1,-0.13,0.16
2005,1,-2.76,-1.69,2.09,0.16
2005,2,1.89,-0.53,1.6,0.16
2005,3,-1.97,-1.36,2.14,0.21
2005,4,-2.61,-3.97,0.02,0.21
2005,5,3.65,2.78,-0.61,0.24
2005,6,0.57,2.52,2.84,0.23
2005,7,3.92,2.89,-0.85,0.24
2005,8,-1.22,-0.95,1.24,0.3
2005,9,0.49,-0.61,0.76,0.29
2005,10,-2.02,-1.23,0.36,0.27
2005,11,3.61,0.99,-1.21,0.31
2005,12,-0.25,-0.46,0.25,0.32
2006,1,3.04,5.43,0.9,0.35
2006,2,-0.3,-0.41,-0.31,0.34
2006,3,1.46,3.46,0.56,0.37
2006,4,0.73,-1.43,2.39,0.36
2006,5,-3.57,-3.1,2.47,0.43
2006,6,-0.35,-0.35,0.93,0.4
2006,7,-0.78,-4,2.61,0.4
2006,8,2.03,1.05,-1.97,0.42
2006,9,1.84,-1.29,0.07,0.41
2006,10,3.23,1.69,-0.27,0.41
2006,11,1.71,0.78,0.06,0.42
2006,12,0.87,-1.13,2.7,0.4
2007,1,1.4,0.17,-0.68,0.44
2007,2,-1.96,1.31,-0.15,0.38
2007,3,0.68,0.1,-0.81,0.43
2007,4,3.49,-2.17,-1.4,0.44
2007,5,3.24,0.26,-0.63,0.41
2007,6,-1.96,0.76,-1.1,0.4
2007,7,-3.73,-2.46,-3.6,0.4
2007,8,0.92,-0.17,-1.98,0.42
2007,9,3.22,-2.26,-2.24,0.32
2007,10,1.8,0.2,-2.76,0.32
2007,11,-4.83,-2.77,-1.09,0.34
2007,12,-0.87,0.12,-0.57,0.27
2008,1,-6.36,-0.87,3.75,0.21
2008,2,-3.09,-0.35,-0.71,0.13
2008,3,-0.93,0.79,0.09,0.17
2008,4,4.6,-1.6,-0.98,0.18
2008,5,1.86,3.05,-1.36,0.18
2008,6,-8.44,1.13,-2.66,0.17
2008,7,-0.77,2.45,5.43,0.15
2008,8,1.53,3.53,1.54,0.13
2008,9,-9.24,-1.21,6.27,0.15
2008,10,-17.23,-2.52,-2.29,0.08
2008,11,-7.86,-2.87,-6.04,0.03
2008,12,1.74,3.56,0.08,0
2009,1,-8.12,0.36,-11.06,0
2009,2,-10.1,0.18,-6.76,0.01
2009,3,8.95,-0.03,3.29,0.02
2009,4,10.18,5.15,4.86,0.01
2009,5,5.21,-2.58,0.37,0
2009,6,0.43,2.57,-2.58,0.01
2009,7,7.72,1.88,4.96,0.01
2009,8,3.33,-1.12,7.59,0.01
2009,9,4.08,2.41,0.87,0.01
2009,10,-2.59,-4.18,-4.04,0
2009,11,5.56,-2.48,-0.29,0
2009,12,2.75,6.12,-0.11,0.01
2010,1,-3.36,0.37,0.29,0
2010,2,3.4,1.19,3.18,0
2010,3,6.31,1.43,2.16,0.01
2010,4,2,4.86,2.93,0.01
2010,5,-7.89,0.15,-2.4,0.01
2010,6,-5.57,-1.84,-4.52,0.01
2010,7,6.93,0.17,-0.33,0.01
2010,8,-4.77,-3.03,-1.91,0.01
2010,9,9.54,3.94,-3.27,0.01
2010,10,3.88,1.04,-2.51,0.01
2010,11,0.6,3.77,-1.02,0.01
2010,12,6.82,0.69,3.67,0.01
2011,1,1.99,-2.52,0.75,0.01
2011,2,3.49,1.53,1.36,0.01
2011,3,0.46,2.59,-1.72,0.01
2011,4,2.9,-0.38,-2.45,0
2011,5,-1.27,-0.57,-2.16,0
2011,6,-1.75,-0.13,-0.48,0
2011,7,-2.35,-1.4,-0.83,0
2011,8,-5.99,-3.08,-2.42,0.01
2011,9,-7.59,-3.37,-1.63,0
2011,10,11.35,3.36,0.13,0
2011,11,-0.28,-0.13,-0.33,0
2011,12,0.74,-0.63,1.73,0
2012,1,5.05,2.07,-0.99,0
2012,2,4.42,-1.83,0.32,0
2012,3,3.11,-0.71,1.19,0
2012,4,-0.85,-0.37,-0.8,0
2012,5,-6.19,0.09,-0.78,0.01
2012,6,3.89,0.78,0.63,0
2012,7,0.79,-2.62,-0.07,0
2012,8,2.55,0.42,1.21,0.01
2012,9,2.73,0.49,1.53,0.01
2012,10,-1.76,-1.13,3.68,0.01
2012,11,0.78,0.54,-0.94,0.01
2012,12,1.18,1.45,3.52,0.01
2013,1,5.57,0.36,0.91,0
2013,2,1.29,-0.41,0.07,0
2013,3,4.03,0.75,-0.2,0
2013,4,1.55,-2.42,0.55,0
2013,5,2.8,1.62,2.65,0
2013,6,-1.2,1.15,-0.02,0
2013,7,5.65,1.87,0.58,0
2013,8,-2.71,0.3,-2.67,0
2013,9,3.77,2.89,-1.19,0
2013,10,4.18,-1.53,1.2,0
2013,11,3.13,1.18,0.31,0
2013,12,2.81,-0.58,-0.05,0
2014,1,-3.32,0.87,-2.02,0
2014,2,4.65,0.31,-0.37,0
2014,3,0.43,-1.85,4.91,0
2014,4,-0.19,-4.21,1.11,0
2014,5,2.06,-1.91,-0.12,0
2014,6,2.61,3.08,-0.68,0
2014,7,-2.04,-4.26,-0.02,0
2014,8,4.24,0.38,-0.58,0
2014,9,-1.97,-3.78,-1.31,0
2014,10,2.52,4.28,-1.82,0
2014,11,2.55,-2.09,-2.87,0
2014,12,-0.06,2.52,2.18,0
2015,1,-3.11,-0.56,-3.5,0
2015,2,6.14,0.53,-1.89,0
2015,3,-1.12,3.02,-0.43,0
2015,4,0.59,-3.01,1.84,0
2015,5,1.36,0.93,-1.19,0
2015,6,-1.53,2.84,-0.76,0
2015,7,1.54,-4.09,-4.19,0
2015,8,-6.04,0.47,2.63,0
2015,9,-3.07,-2.61,0.51,0
2015,10,7.75,-1.99,-0.21,0
2015,11,0.56,3.67,-0.53,0
2015,12,-2.17,-2.84,-2.52,0.01
2016,1,-5.77,-3.34,1.98,0.01
2016,2,-0.08,0.84,-0.56,0.02
2016,3,6.96,0.83,1.06,0.02
2016,4,0.92,0.67,3.3,0.01
2016,5,1.78,-0.26,-1.72,0.01
2016,6,-0.05,0.65,-1.46,0.02
2016,7,3.95,2.62,-1.23,0.02
2016,8,0.5,1.16,3.24,0.02
2016,9,0.25,2.03,-1.2,0.02
2016,10,-2.02,-4.42,4.04,0.02
2016,11,4.86,5.46,8.15,0.01
2016,12,1.81,0.11,3.49,0.03
2017,1,1.94,-1.04,-2.77,0.04
2017,2,3.57,-1.99,-1.78,0.04
2017,3,0.17,1.16,-3.25,0.03
2017,4,1.09,0.71,-2.05,0.05
2017,5,1.06,-2.59,-3.69,0.06
2017,6,0.78,2.15,1.43,0.06
2017,7,1.87,-1.47,-0.33,0.07
2017,8,0.16,-1.6,-2.3,0.09
2017,9,2.51,4.47,3.11,0.09
2017,10,2.25,-1.94,0.07,0.09
2017,11,3.12,-0.59,-0.06,0.08
2017,12,1.06,-1.31,0.27,0.09
2018,1,5.58,-3.1,-1.24,0.11
2018,2,-3.65,0.3,-1.02,0.11
2018,3,-2.35,4.05,-0.14,0.12
2018,4,0.29,1.14,0.46,0.14
2018,5,2.65,5.28,-3.15,0.14
2018,6,0.48,1.18,-2.27,0.14
2018,7,3.19,-2.21,0.58,0.16
2018,8,3.44,1.08,-3.87,0.16
2018,9,0.06,-2.24,-1.7,0.15
2018,10,-7.68,-4.91,3.62,0.19
2018,11,1.69,-0.69,0.2,0.18
2018,12,-9.55,-2.54,-1.88,0.19
2019,1,8.41,2.94,-0.56,0.21
2019,2,3.4,2.1,-2.72,0.18
2019,3,1.1,-3.06,-4.2,0.19
2019,4,3.96,-1.77,2,0.21
2019,5,-6.94,-1.25,-2.15,0.21
2019,6,6.93,0.2,-0.82,0.18
2019,7,1.19,-2.06,0.3,0.19
2019,8,-2.58,-2.43,-4.93,0.16
2019,9,1.43,-0.99,6.78,0.18
2019,10,2.06,0.27,-2.09,0.15
2019,11,3.87,0.85,-1.87,0.12
2019,12,2.77,0.71,1.93,0.14
2020,1,-0.11,-3.09,-6.3,0.13
2020,2,-8.13,1,-3.96,0.12
2020,3,-13.38,-5.1,-14.11,0.12
2020,4,13.65,2.75,-1.35,0
2020,5,5.58,2.47,-4.95,0.01
2020,6,2.46,2.7,-2.22,0.01
2020,7,5.77,-2.18,-1.31,0.01
2020,8,7.63,-0.26,-2.95,0.01
2020,9,-3.63,0.06,-2.56,0.01
2020,10,-2.1,4.44,3.88,0.01
