YEAR,MONTH,MER,SMB ,HML ,RF
1936,10,7.12,-2.39,2.52,0.02
1936,11,3.27,9.01,-0.92,0.01
1936,12,0.21,3.61,3.96,0
1937,1,3.35,4.31,2.61,0.01
1937,2,1.09,1.23,5.05,0.02
1937,3,-0.27,-1.78,6.39,0.01
1937,4,-7.36,-3.77,-3.61,0.03
1937,5,-0.83,-0.66,-3.49,0.06
1937,6,-4.21,-3.65,-3.21,0.03
1937,7,8.91,0.85,0.82,0.03
1937,8,-4.86,0.42,-2.25,0.02
1937,9,-13.61,-6.89,-4.57,0.04
1937,10,-9.61,0.45,-1.62,0.02
1937,11,-8.31,-3.65,0.2,0.02
1937,12,-4.24,-7.76,-0.39,0
1938,1,0.49,4.97,-1.6,0
1938,2,5.84,0.35,-2.02,0
1938,3,-23.82,-4.24,-3.52,-0.01
1938,4,14.51,6.37,0.18,0.01
1938,5,-3.83,-2.47,-0.28,0
1938,6,23.87,4.05,0.3,0
1938,7,7.34,6.66,2.18,-0.01
1938,8,-2.67,-2.44,-4.72,0
1938,9,0.81,-2.72,-1.62,0.02
1938,10,7.8,5.83,5.01,0.01
1938,11,-1.72,-2.56,-1.23,-0.06
1938,12,4.19,-1.8,0.5,0
1939,1,-5.96,-1.56,-3.92,-0.01
1939,2,3.51,0.63,2.95,0.01
1939,3,-11.99,-4.76,-8.29,-0.01
1939,4,-0.18,1.66,-0.3,0
1939,5,6.8,2.81,0.47,0.01
1939,6,-5.31,-1.02,-5.41,0.01
1939,7,10.24,4.32,-0.03,0
1939,8,-6.68,-4.61,-2.42,-0.01
1939,9,16.88,20.23,22.22,0.01
1939,10,-0.53,-0.01,-4.89,0
1939,11,-3.62,-5.07,-6.46,0
1939,12,3.03,0.79,-4.06,0
1940,1,-2.41,0.24,-0.77,0
1940,2,1.44,2.51,-0.32,0
1940,3,2.05,1.25,-1.27,0
1940,4,0.22,3.92,-0.13,0
1940,5,-21.95,-6.66,-3.69,-0.02
1940,6,6.67,-2.13,4.63,0
1940,7,3.16,1.01,-0.74,0.01
1940,8,2.19,-0.11,0.56,-0.01
1940,9,2.39,3.22,-1.13,0
1940,10,3.02,0.28,4.64,0
1940,11,-1.61,1.94,0.12,0
1940,12,0.69,-2.15,-0.89,0
1941,1,-4.17,1,3.83,-0.01
1941,2,-1.43,-1.57,0.89,-0.01
1941,3,0.84,0.1,3.04,0.01
1941,4,-5.46,-1.69,3.41,-0.01
1941,5,1.39,-0.66,0.6,0
1941,6,5.83,1.32,0.59,0
1941,7,5.87,5.7,7.25,0.03
1941,8,-0.17,-0.41,-1.1,0.01
1941,9,-0.87,-0.99,-0.28,0.01
1941,10,-5.25,-2.02,1.63,0
1941,11,-1.92,-1.21,-0.64,0
1941,12,-4.87,-2.98,-5.94,0.01
1942,1,0.79,7.52,10.1,0.02
1942,2,-2.46,1.72,-1.13,0.01
1942,3,-6.58,1.78,-0.62,0.01
1942,4,-4.37,-0.6,2.09,0.01
1942,5,5.94,-3.05,-2.65,0.03
1942,6,2.69,-1.22,0.54,0.02
1942,7,3.51,-0.16,2.4,0.03
1942,8,1.8,-0.09,1.33,0.03
1942,9,2.61,0.66,2.39,0.03
1942,10,6.82,1.82,6.47,0.03
1942,11,0.15,-1.54,-4.24,0.03
1942,12,5.12,-2.49,0.56,0.03
1943,1,7.13,8.78,8.23,0.03
1943,2,6.15,4.84,6.51,0.03
1943,3,6.01,5.03,5.48,0.03
1943,4,0.81,2.06,5.86,0.03
1943,5,5.74,4.41,3.28,0.03
1943,6,1.82,-1.06,-0.74,0.03
1943,7,-4.77,-2.41,-2.27,0.03
1943,8,1.3,-0.62,-0.47,0.03
1943,9,2.4,1.28,1.43,0.03
1943,10,-1.15,0.58,1.65,0.03
1943,11,-5.91,-1.64,-4.04,0.03
1943,12,6.36,3.34,3.22,0.03
1944,1,1.74,2.56,2.17,0.03
1944,2,0.37,-0.1,0.83,0.03
1944,3,2.46,1.71,3.43,0.02
1944,4,-1.69,-1.35,-1.13,0.03
1944,5,5.07,1.67,1.02,0.03
1944,6,5.49,4.04,1.82,0.03
1944,7,-1.49,0.55,-0.43,0.03
1944,8,1.57,2.41,-1.63,0.03
1944,9,0.01,0.47,-1.21,0.02
1944,10,0.16,-0.14,-0.34,0.03
1944,11,1.71,0.37,2.31,0.03
1944,12,4.03,2.24,5.91,0.02
1945,1,2.01,2.44,0.71,0.03
1945,2,6.23,1.56,4.4,0.02
1945,3,-3.89,-1.61,-1.78,0.02
1945,4,7.8,0.32,3.21,0.03
1945,5,1.73,1.51,0.35,0.03
1945,6,0.39,3.1,4.32,0.02
1945,7,-2.17,-1.46,-2.71,0.03
1945,8,6.2,1.61,-4.4,0.03
1945,9,4.77,1.71,0.48,0.03
1945,10,3.89,2.46,2.25,0.03
1945,11,5.39,4.16,4.34,0.02
1945,12,1.2,2.12,-2.32,0.03
1946,1,6.24,4.02,2.21,0.03
1946,2,-5.83,-0.73,-1.27,0.03
1946,3,5.87,0.31,-0.36,0.03
1946,4,4.23,2.37,0.45,0.03
1946,5,3.93,1.46,1.09,0.03
1946,6,-3.89,-1.53,-0.59,0.03
1946,7,-2.69,-2.06,0.04,0.03
1946,8,-6.44,-1.78,0.6,0.03
1946,9,-10.17,-4.41,-1.96,0.03
1946,10,-1.44,0.09,3.44,0.03
1946,11,-0.01,-0.4,1.52,0.03
1946,12,4.96,0.06,-1.38,0.03
1947,1,1.25,2.18,-0.73,0.03
1947,2,-1.08,0.68,0.14,0.03
1947,3,-1.67,-1.61,0.61,0.03
1947,4,-4.8,-3.97,0.85,0.03
1947,5,-0.97,-3.26,0.34,0.03
1947,6,5.29,-0.31,-0.6,0.03
1947,7,4.14,1.43,2.82,0.03
1947,8,-1.74,0.3,0.16,0.03
1947,9,-0.54,1.64,1.36,0.06
1947,10,2.47,0.51,0.08,0.06
1947,11,-1.97,-1.74,1.06,0.06
1947,12,3,-2.48,3.69,0.08
1948,1,-3.93,2.49,1.38,0.07
1948,2,-4.38,-1.71,0.07,0.07
1948,3,8.07,0.13,4.49,0.09
1948,4,3.65,-1.66,4.1,0.08
1948,5,7.3,0.93,-1.23,0.08
1948,6,-0.1,-1.86,2.75,0.09
1948,7,-5.09,-0.32,0.07,0.08
1948,8,0.25,-1.1,0.27,0.09
1948,9,-2.97,-1.23,-1.79,0.04
1948,10,5.96,-1.5,0.56,0.04
1948,11,-9.3,-0.62,-4.14,0.04
1948,12,3.26,-2.8,-1.94,0.04
1949,1,0.23,1.81,1.17,0.1
1949,2,-2.93,-1.89,-0.91,0.09
1949,3,4.04,2.48,1.34,0.1
1949,4,-1.87,-0.89,-1.18,0.09
1949,5,-2.94,-0.77,-2.42,0.1
1949,6,0.1,-0.88,-1.76,0.1
1949,7,5.54,0.57,0.38,0.09
1949,8,2.6,0.13,-0.57,0.09
1949,9,3.09,1.05,0.23,0.09
1949,10,3.14,1.03,-0.49,0.09
1949,11,1.82,-0.93,-0.91,0.08
1949,12,5.13,2.07,1.75,0.09
1950,1,1.7,3.36,0.14,0.09
1950,2,1.48,0.04,-0.81,0.09
1950,3,1.26,-1.41,-2.77,0.1
1950,4,3.94,1.99,1.34,0.09
1950,5,4.31,-2.12,0.46,0.1
1950,6,-5.94,-2.38,-0.78,0.1
1950,7,1.36,0.51,13.66,0.1
1950,8,4.85,0.73,-1.41,0.1
1950,9,4.81,0.57,-1.11,0.1
1950,10,-0.18,-0.58,1.44,0.12
1950,11,2.76,-0.84,3.17,0.11
1950,12,5.54,1.49,7.23,0.11
1951,1,5.7,1.73,3.72,0.13
1951,2,1.41,0.09,-2.83,0.1
1951,3,-2.15,-0.64,-4.22,0.11
1951,4,4.86,-1.49,3.28,0.13
1951,5,-2.34,-0.01,-1.33,0.12
1951,6,-2.62,-1.95,-3.96,0.12
1951,7,6.94,-1.99,2.01,0.13
1951,8,4.27,0.99,-0.16,0.13
1951,9,0.7,1.9,0.61,0.12
1951,10,-2.53,-0.22,0.25,0.16
1951,11,0.57,-0.29,-0.05,0.11
1951,12,3.33,-2.25,-1.56,0.12
1952,1,1.45,-0.61,1.54,0.15
1952,2,-2.62,0.79,-0.61,0.12
1952,3,4.44,-2.99,2.16,0.11
1952,4,-4.97,0.48,-0.1,0.12
1952,5,3.2,-1.01,0.08,0.13
1952,6,3.83,-1.61,1.23,0.15
1952,7,0.91,-0.4,-0.35,0.15
1952,8,-0.76,1.18,0.03,0.15
1952,9,-2.03,1.15,-1.51,0.16
1952,10,-0.66,-1.06,-0.45,0.14
1952,11,5.94,-0.71,0.95,0.1
1952,12,2.93,-1.48,0.18,0.16
1953,1,-0.34,3.58,1.32,0.16
1953,2,-0.27,2.15,-0.08,0.14
1953,3,-1.43,-0.19,-0.8,0.18
1953,4,-2.83,0.28,1.53,0.16
1953,5,0.52,-0.07,0.23,0.17
1953,6,-1.89,-1.86,-0.47,0.18
1953,7,2.4,-1.05,-0.24,0.15
1953,8,-4.52,0.36,-3.54,0.17
1953,9,0.2,-0.85,-2.42,0.16
1953,10,4.6,-1.37,-0.19,0.13
1953,11,2.83,-1.29,-0.17,0.08
1953,12,0.03,-0.84,-2.84,0.13
1954,1,5.13,0.46,3.51,0.11
1954,2,1.67,-0.17,-0.28,0.07
1954,3,3.65,-0.49,-1.46,0.08
1954,4,4.27,-3.48,-0.37,0.09
1954,5,3.09,0.39,2.46,0.05
1954,6,1.07,0.41,-0.03,0.06
1954,7,4.99,1.07,4.11,0.05
1954,8,-2.34,2.66,-1.36,0.05
1954,9,6.39,-2.54,0.66,0.09
1954,10,-1.67,0.59,0.72,0.07
1954,11,9.38,-2.62,4.36,0.06
1954,12,5.48,2.14,5.71,0.08
1955,1,0.6,0.25,2.18,0.08
1955,2,3.02,1.54,0.62,0.09
1955,3,-0.16,-0.66,1.95,0.1
1955,4,3.11,-1.79,0.81,0.1
1955,5,0.93,-0.29,-0.86,0.14
1955,6,6.55,-4.65,1.92,0.1
1955,7,1.9,-1.36,0.63,0.1
1955,8,0.21,-0.38,0.58,0.16
1955,9,-0.36,0.3,-1.06,0.16
1955,10,-2.68,1.5,-0.03,0.18
1955,11,7.03,-2.46,0.5,0.17
1955,12,1.49,2.08,-2.24,0.18
1956,1,-3.03,0.44,1.12,0.22
1956,2,3.77,-1.04,-0.53,0.19
1956,3,6.64,-2.42,-0.14,0.15
1956,4,0.28,0.07,-0.18,0.19
1956,5,-5.2,1.5,-1.33,0.23
1956,6,3.48,-1.46,-1.32,0.2
1956,7,4.84,-1.68,-0.01,0.22
1956,8,-3.18,1.9,-0.71,0.17
1956,9,-5.14,1.56,1.79,0.18
1956,10,0.52,-0.09,-0.06,0.25
1956,11,0.36,-0.22,1.78,0.2
1956,12,3.16,-0.03,-2.1,0.24
1957,1,-3.58,3.4,2.78,0.27
1957,2,-2.06,-0.72,-0.73,0.24
1957,3,2.13,0.27,-0.47,0.23
1957,4,4.26,-1.6,-1.51,0.25
1957,5,3.45,-1.07,-2.05,0.26
1957,6,-0.74,0.55,0.01,0.24
1957,7,0.66,-0.76,0.38,0.3
1957,8,-5.11,0.06,-0.45,0.25
1957,9,-5.98,0.08,0.88,0.26
1957,10,-4.32,-2.52,-1.83,0.29
1957,11,2.3,0.4,-2.9,0.28
1957,12,-3.91,-0.93,-1.71,0.24
1958,1,4.66,4.36,4.23,0.28
1958,2,-1.52,0.7,0.28,0.12
1958,3,3.27,0.63,-0.92,0.09
1958,4,3.09,-0.59,1.46,0.08
1958,5,2.31,2.24,-0.35,0.11
1958,6,2.93,-0.24,0.5,0.03
1958,7,4.39,0.47,3.12,0.07
1958,8,1.91,1.19,0.29,0.04
1958,9,4.66,0.15,2.96,0.19
1958,10,2.53,1.13,-1.18,0.18
1958,11,3.01,2.06,-1.29,0.11
1958,12,5.15,-2.07,-0.05,0.22
1959,1,0.71,3.02,2.98,0.21
1959,2,0.95,1.49,1.05,0.19
1959,3,0.28,1.48,-0.35,0.22
1959,4,3.66,-0.58,-1.22,0.2
1959,5,1.73,-2.15,1.87,0.22
1959,6,-0.25,0.68,1.33,0.25
1959,7,3.17,-0.32,0.26,0.25
1959,8,-1.39,-0.78,0.44,0.19
1959,9,-4.8,-0.09,0.57,0.31
1959,10,1.28,1.43,-2.05,0.3
1959,11,1.6,1.24,-3.27,0.26
1959,12,2.45,-0.6,-0.03,0.34
1960,1,-6.98,2.09,2.73,0.33
1960,2,1.17,0.51,-1.99,0.29
1960,3,-1.63,-0.51,-2.85,0.35
1960,4,-1.71,0.31,-2.23,0.19
1960,5,3.12,1.21,-3.76,0.27
1960,6,2.08,-0.22,-0.34,0.24
1960,7,-2.37,-0.51,2.01,0.13
1960,8,3.01,0.88,-0.17,0.17
1960,9,-5.99,-1.1,1.55,0.16
1960,10,-0.71,-4,2.66,0.22
1960,11,4.69,0.39,-2.52,0.13
1960,12,4.71,-1.58,-0.76,0.16
1961,1,6.2,0.66,3.7,0.19
1961,2,3.57,3.98,-0.74,0.14
1961,3,2.89,3.31,-0.83,0.2
1961,4,0.29,0.07,2.1,0.17
1961,5,2.4,2,0.4,0.18
1961,6,-3.08,-2.45,-0.21,0.2
1961,7,2.83,-1.88,-0.11,0.18
1961,8,2.57,-1.75,-0.28,0.14
1961,9,-2.15,-1.05,-0.58,0.17
1961,10,2.57,-1.61,0.12,0.19
1961,11,4.45,1.24,-1.19,0.15
1961,12,-0.18,-0.83,1.83,0.19
1962,1,-3.87,1.78,5.09,0.24
1962,2,1.81,-1.16,0.85,0.2
1962,3,-0.68,0.53,-1.43,0.2
1962,4,-6.59,-0.68,0.03,0.22
1962,5,-8.65,-3.33,2.78,0.24
1962,6,-8.47,-0.57,2.54,0.2
1962,7,6.28,1.49,-3.44,0.27
1962,8,2.13,1.23,-1.19,0.23
1962,9,-5.22,-2.43,1.23,0.21
1962,10,-0.05,-3.97,1.29,0.25
1962,11,10.87,2.61,1.01,0.2
1962,12,1.01,-3.8,0.33,0.23
1963,1,4.93,3.06,2.26,0.25
1963,2,-2.38,0.5,2.21,0.23
1963,3,3.08,-2.62,2.1,0.23
1963,4,4.51,-1.31,1.01,0.25
1963,5,1.76,1.12,2.5,0.24
1963,6,-2,-0.25,0.7,0.23
1963,7,-0.39,-0.56,-0.83,0.27
1963,8,5.07,-0.94,1.67,0.25
1963,9,-1.57,-0.3,0.18,0.27
1963,10,2.53,-0.54,-0.1,0.29
1963,11,-0.85,-1.13,1.71,0.27
1963,12,1.83,-1.97,-0.12,0.29
1964,1,2.24,-0.19,1.59,0.3
1964,2,1.54,0.1,2.83,0.26
1964,3,1.41,0.99,3.32,0.31
1964,4,0.1,-1.37,-0.55,0.29
1964,5,1.42,-0.9,1.98,0.26
1964,6,1.27,-0.26,0.68,0.3
1964,7,1.74,0.28,0.68,0.3
1964,8,-1.44,0.09,0.09,0.28
1964,9,2.69,-0.51,1.65,0.28
1964,10,0.59,0.43,1.14,0.29
1964,11,0,0.61,-1.98,0.29
1964,12,0.03,-0.26,-2.55,0.31
1965,1,3.54,2.7,0.18,0.28
1965,2,0.44,3.48,0.22,0.3
1965,3,-1.34,1.79,1.09,0.36
1965,4,3.11,1.2,0.71,0.31
1965,5,-0.77,0.04,-1.63,0.31
1965,6,-5.51,-4.35,0.55,0.35
1965,7,1.43,0.87,2.18,0.31
1965,8,2.73,2.81,-0.96,0.33
1965,9,2.86,0.61,-0.1,0.31
1965,10,2.6,2.48,1.52,0.31
1965,11,-0.03,4.68,0.21,0.35
1965,12,1.01,2.08,1.95,0.33
1966,1,0.72,3.89,3.49,0.38
1966,2,-1.21,4.54,0.27,0.35
1966,3,-2.51,0.94,-2.07,0.38
1966,4,2.14,3.45,-0.54,0.34
1966,5,-5.66,-4.7,-1.55,0.41
1966,6,-1.44,1.02,0.5,0.38
1966,7,-1.63,-0.44,0.96,0.35
1966,8,-7.91,-3.23,0.47,0.41
1966,9,-1.06,-1.07,0.53,0.4
1966,10,3.86,-6.64,2.87,0.45
1966,11,1.4,4.22,-4.46,0.4
1966,12,0.13,1.86,-1.22,0.4
1967,1,8.15,8.32,2.22,0.43
1967,2,0.78,3.34,-2.17,0.36
1967,3,3.99,1.63,0.31,0.39
1967,4,3.89,0.62,-2.64,0.32
1967,5,-4.33,1.98,0.8,0.33
1967,6,2.41,5.96,0.96,0.27
1967,7,4.58,3.08,2.65,0.31
1967,8,-0.89,0.47,1.46,0.31
1967,9,3.11,3.1,-2.47,0.32
1967,10,-3.09,1.42,-3.39,0.39
1967,11,0.37,0.2,-1.71,0.36
1967,12,3.05,5.73,-0.39,0.33
1968,1,-4.06,3.91,4.75,0.4
1968,2,-3.75,-2.95,1.17,0.39
1968,3,0.2,-1.28,-0.59,0.38
1968,4,9.05,5.73,-1.03,0.43
1968,5,2.28,6.43,0.84,0.45
1968,6,0.69,-0.17,0.67,0.43
1968,7,-2.72,-1.3,5.48,0.48
1968,8,1.34,2.34,1,0.42
1968,9,4.03,2.76,0.23,0.43
1968,10,0.42,-0.47,2.89,0.44
1968,11,5.43,2.35,-0.9,0.42
1968,12,-3.94,3.44,0.02,0.43
1969,1,-1.25,-0.78,1.69,0.53
1969,2,-5.84,-3.89,0.91,0.46
1969,3,2.64,-0.25,-0.46,0.46
1969,4,1.46,-0.88,0.03,0.53
1969,5,-0.1,-0.27,0.73,0.48
1969,6,-7.18,-5.39,-1.09,0.51
1969,7,-7,-3.21,1.42,0.53
1969,8,4.68,0.94,-3.87,0.5
1969,9,-2.98,1.2,-3.19,0.62
1969,10,5.06,3.81,-3.19,0.6
1969,11,-3.79,-2.53,-1.12,0.52
1969,12,-2.63,-3.67,-3.02,0.64
1970,1,-8.1,2.9,3.04,0.6
1970,2,5.13,-2.4,4.04,0.62
1970,3,-1.06,-2.32,4.25,0.57
1970,4,-11,-6.11,6.4,0.5
1970,5,-6.92,-4.52,3.6,0.53
1970,6,-5.79,-2.16,0.87,0.58
1970,7,6.93,-0.54,0.96,0.52
1970,8,4.49,1.52,1.03,0.53
1970,9,4.18,8.62,-5.58,0.54
1970,10,-2.28,-4.28,0.27,0.46
1970,11,4.6,-4.07,1.63,0.46
1970,12,5.72,2.97,1.01,0.42
1971,1,4.84,7.37,1.38,0.38
1971,2,1.41,1.88,-1.29,0.33
1971,3,4.13,2.54,-4.04,0.3
1971,4,3.15,-0.49,0.72,0.28
1971,5,-3.98,-1.1,-1.38,0.29
1971,6,-0.1,-1.42,-2.06,0.37
1971,7,-4.5,-1.5,0.17,0.4
1971,8,3.79,-0.16,2.67,0.47
1971,9,-0.85,0.41,-2.96,0.37
1971,10,-4.42,-1.8,-0.43,0.37
1971,11,-0.46,-2.85,-1.7,0.37
1971,12,8.71,3.32,-0.35,0.37
1972,1,2.49,6.12,1.99,0.29
1972,2,2.87,1.37,-2.76,0.25
1972,3,0.63,-0.27,-1.73,0.27
1972,4,0.29,0.01,0.23,0.29
1972,5,1.25,-2.79,-2.69,0.3
1972,6,-2.43,0.33,-2.51,0.29
1972,7,-0.8,-2.89,0.78,0.31
1972,8,3.26,-4.09,4.69,0.29
1972,9,-1.14,-2.67,0.47,0.34
1972,10,0.52,-2.74,1.37,0.4
1972,11,4.6,-1.11,4.76,0.37
1972,12,0.62,-1.86,-2.27,0.37
1973,1,-3.29,-3.48,2.68,0.44
1973,2,-4.85,-3.99,1.7,0.41
1973,3,-1.3,-2.82,2.78,0.46
1973,4,-5.68,-3.99,5.69,0.52
1973,5,-2.94,-6.12,0.21,0.51
1973,6,-1.56,-2.95,1.44,0.51
1973,7,5.05,7.92,-5.35,0.64
1973,8,-3.82,-2.02,1.13,0.7
1973,9,4.75,2.94,2.19,0.68
1973,10,-0.83,-0.23,1.75,0.65
1973,11,-12.75,-7.71,4.09,0.56
1973,12,0.61,-5.29,4.1,0.64
1974,1,-0.17,9.76,5.98,0.63
1974,2,-0.47,0.04,2.56,0.58
1974,3,-2.81,2.51,-0.11,0.56
1974,4,-5.29,-0.7,1.03,0.75
1974,5,-4.68,-3,-2.07,0.75
1974,6,-2.83,-0.2,0.77,0.6
1974,7,-8.05,0.92,5.14,0.7
1974,8,-9.35,-0.68,2.5,0.6
1974,9,-11.77,0.27,5.49,0.81
1974,10,16.1,-3.51,-9.99,0.51
1974,11,-4.51,-1.17,-0.16,0.54
1974,12,-3.45,-4.84,0,0.7
1975,1,13.66,11.01,8.44,0.58
1975,2,5.56,0.16,-4.56,0.43
1975,3,2.66,3.75,2.49,0.41
1975,4,4.23,-0.54,-1.11,0.44
1975,5,5.19,3.83,-4.02,0.44
1975,6,4.83,0.76,1.32,0.41
1975,7,-6.59,2.69,1.7,0.48
1975,8,-2.85,-3.2,-0.9,0.48
1975,9,-4.26,-0.13,0.34,0.53
1975,10,5.31,-4.02,0.3,0.56
1975,11,2.64,-1.19,1.99,0.41
1975,12,-1.6,-0.76,1.75,0.48
1976,1,12.16,4.8,8.58,0.47
1976,2,0.32,7.03,5.78,0.34
1976,3,2.32,-1.17,-0.04,0.4
1976,4,-1.49,-0.03,-0.06,0.42
1976,5,-1.34,-1.24,-1.32,0.37
1976,6,4.05,-1.35,0.68,0.43
1976,7,-1.07,0.3,1.74,0.47
1976,8,-0.56,-2.01,0.79,0.42
1976,9,2.07,0,-0.29,0.44
1976,10,-2.42,0.25,-0.12,0.41
1976,11,0.36,2.32,1.52,0.4
1976,12,5.65,3,2.21,0.4
1977,1,-4.05,4.78,4.26,0.36
1977,2,-1.94,1.08,0.5,0.35
1977,3,-1.37,0.99,1.02,0.38
1977,4,0.15,-0.1,3.47,0.38
1977,5,-1.45,1.18,0.84,0.37
1977,6,4.71,2.13,-0.64,0.4
1977,7,-1.69,2.12,-0.59,0.42
1977,8,-1.75,1.52,-2.79,0.44
1977,9,-0.27,1.45,-0.49,0.43
1977,10,-4.38,1.27,1.72,0.49
1977,11,4,3.72,0.31,0.5
1977,12,0.27,1.35,-0.37,0.49
1978,1,-6.01,2.22,3.31,0.49
1978,2,-1.38,3.59,0.76,0.46
1978,3,2.85,3.48,1.2,0.53
1978,4,7.88,0.4,-3.54,0.54
1978,5,1.76,4.56,-0.62,0.51
1978,6,-1.69,1.69,0.59,0.54
1978,7,5.11,0.26,-1.11,0.56
1978,8,3.75,5.06,-0.46,0.56
1978,9,-1.43,-0.39,1.87,0.62
