PERMNO	date	COMNAM	RET
49154	7/18/2022	TARGET CORP	0.018341
49154	7/19/2022	TARGET CORP	0.026781
49154	7/20/2022	TARGET CORP	0.020475
49154	7/21/2022	TARGET CORP	0.013802
49154	7/22/2022	TARGET CORP	-0.005799
49154	7/25/2022	TARGET CORP	-0.001585
49154	7/26/2022	TARGET CORP	-0.036066
49154	7/27/2022	TARGET CORP	0.018378
49154	7/28/2022	TARGET CORP	0.031177
49154	7/29/2022	TARGET CORP	0.02484
49154	8/1/2022	TARGET CORP	0.013282
49154	8/2/2022	TARGET CORP	-0.012504
49154	8/3/2022	TARGET CORP	0.027159
49154	8/4/2022	TARGET CORP	-0.008099
49154	8/5/2022	TARGET CORP	-0.002582
49154	8/8/2022	TARGET CORP	0.005056
49154	8/9/2022	TARGET CORP	-0.01108
49154	8/10/2022	TARGET CORP	0.027556
49154	8/11/2022	TARGET CORP	-0.000413
49154	8/12/2022	TARGET CORP	0.016981
49154	8/15/2022	TARGET CORP	0.005276
49154	8/16/2022	TARGET CORP	0.045447
49154	8/17/2022	TARGET CORP	-0.026916
49154	8/18/2022	TARGET CORP	-0.01306
49154	8/19/2022	TARGET CORP	-0.03473
49154	8/22/2022	TARGET CORP	-0.030412
49154	8/23/2022	TARGET CORP	0.000062
49154	8/24/2022	TARGET CORP	0.007162
49154	8/25/2022	TARGET CORP	0.026788
49154	8/26/2022	TARGET CORP	-0.041075
49154	8/29/2022	TARGET CORP	-0.012016
49154	8/30/2022	TARGET CORP	0.01317
49154	8/31/2022	TARGET CORP	-0.002737
49154	9/1/2022	TARGET CORP	0.028065
49154	9/2/2022	TARGET CORP	-0.001456
49154	9/6/2022	TARGET CORP	-0.006197
49154	9/7/2022	TARGET CORP	0.044076
49154	9/8/2022	TARGET CORP	0.006499
49154	9/9/2022	TARGET CORP	0.01018
49154	9/12/2022	TARGET CORP	0.001152
49154	9/13/2022	TARGET CORP	-0.043773
49154	9/14/2022	TARGET CORP	-0.005173
49154	9/15/2022	TARGET CORP	-0.002237
49154	9/16/2022	TARGET CORP	-0.005575
49154	9/19/2022	TARGET CORP	0.004083
49154	9/20/2022	TARGET CORP	-0.028708
49154	9/21/2022	TARGET CORP	-0.006249
49154	9/22/2022	TARGET CORP	-0.038169
49154	9/23/2022	TARGET CORP	-0.002288
49154	9/26/2022	TARGET CORP	-0.025555
49154	9/27/2022	TARGET CORP	-0.001614
49154	9/28/2022	TARGET CORP	0.049842
49154	9/29/2022	TARGET CORP	-0.026176
49154	9/30/2022	TARGET CORP	-0.022399
49154	10/3/2022	TARGET CORP	0.022913
49154	10/4/2022	TARGET CORP	0.03406
49154	10/5/2022	TARGET CORP	-0.003504
49154	10/6/2022	TARGET CORP	-0.00422
49154	10/7/2022	TARGET CORP	-0.021894
49154	10/10/2022	TARGET CORP	0.004989
49154	10/11/2022	TARGET CORP	0.009144
49154	10/12/2022	TARGET CORP	-0.002201
49154	10/13/2022	TARGET CORP	-0.00026
49154	10/14/2022	TARGET CORP	-0.054698
49154	10/17/2022	TARGET CORP	0.024435
49154	10/18/2022	TARGET CORP	0.053467
49154	10/19/2022	TARGET CORP	-0.011703
49154	10/20/2022	TARGET CORP	-0.006371
49154	10/21/2022	TARGET CORP	0.031023
49154	10/24/2022	TARGET CORP	0.016521
49154	10/25/2022	TARGET CORP	0.024595
