,ME1_BM1,ME1_BM2,ME1_BM3,ME1_BM4,ME1_BM5,,,,,,,,,,
193009,-0.316350758,-0.346459341,-0.312190811,-0.207262835,-0.216138154,,,,,,,,0.109602675,,
193010,-0.326948758,-0.103286341,-0.080498811,-0.161457835,-0.108826154,,,,,,,,0.033769341,,
193011,0.189461242,-0.164067341,-0.057371811,-0.036893835,-0.050247154,,,,,,,,-0.031084402,,
193012,-0.191965758,-0.260752341,-0.256264811,-0.149575835,-0.189106154,,,,,,,,0.050055521,,
193101,-0.273880758,0.211911659,0.145346189,0.154648165,0.177051846,,,,,,,,-0.058038526,,
193102,0.206263242,0.197592659,0.474208189,0.226255165,0.216630846,,,,,,,,0.040756102,,
193103,-0.085755758,-0.001665341,-0.030200811,-0.062842835,-0.101835154,,,,,,,,0.000142813,,
193104,-0.160922758,-0.265969341,-0.229319811,-0.159877835,-0.180378154,,,,,,,,0.04280052,,
193105,-0.092722758,0.003399659,-0.188786811,-0.130330835,-0.170440154,,,,,,,,-0.000315226,,
193106,0.190025242,0.059601659,0.128250189,0.138791165,0.159919846,,,,,,,,0.01132582,,
193107,-0.071759758,-0.123187341,-0.109338811,-0.084210835,-0.069243154,,,,,,,,0.008839894,,
193108,-0.140513758,-0.012036341,-0.062647811,-0.066009835,-0.066532154,,,,,,,,0.001691271,,
193109,-0.503043758,-0.316331341,-0.296476811,-0.363661835,-0.339404154,,,,,,,,0.159128507,,
193110,0.118477242,-0.039189341,-0.006904811,0.100764165,0.054889846,,,,,,,,-0.004643045,,
193111,-0.248117758,-0.222110341,-0.108196811,-0.117851835,-0.132150154,,,,,,,,0.05510952,,
193112,-0.261358758,-0.046356341,-0.206645811,-0.285654835,-0.266114154,,,,,,,,0.012115636,,
193201,0.047212242,-0.069907341,0.070662189,0.127866165,0.059344846,,,,,,,,-0.003300482,,
193202,-0.136209758,-0.009338341,0.046408189,-0.033856835,0.026427846,,,,,,,,0.001271973,,
193203,-0.238529758,-0.065230341,-0.044884811,-0.129227835,-0.131937154,,,,,,,,0.015559377,,
193204,-0.415934758,-0.177477341,-0.281146811,-0.193438835,-0.220198154,,,,,,,,0.073818995,,
193205,-0.136954758,-0.361556341,-0.071321811,-0.056992835,-0.113184154,,,,,,,,0.049516861,,
193206,0.349623242,-0.179132341,0.040616189,-0.077119835,-0.024011154,,,,,,,,-0.06262883,,
193207,1.470086242,0.134045659,0.404868189,0.368986165,0.524480846,,,,,,,,0.197058679,,
193208,0.485424242,0.937055659,0.816423189,0.824513165,0.979141846,,,,,,,,0.454869533,,
193209,-0.279504758,-0.119787341,-0.175592811,-0.059427835,-0.188196154,,,,,,,,0.033481132,,
193210,-0.099959758,-0.140964341,-0.276745811,-0.217489835,-0.212721154,,,,,,,,0.014090761,,
193211,-0.273913758,-0.142143341,-0.095267811,-0.123014835,-0.137690154,,,,,,,,0.038935017,,
193212,0.061891242,-0.128080341,-0.038048811,-0.142916835,-0.128913154,,,,,,,,-0.007927051,,
193301,0.564439242,-0.018641341,0.002802189,-0.085201835,0.019486846,,,,,,,,-0.010521904,,
193302,-0.455089758,-0.197504341,-0.192297811,-0.161582835,-0.173589154,,,,,,,,0.089882203,,
193303,-0.173474758,0.062603659,-0.060869811,0.045684165,0.168178846,,,,,,,,-0.010860155,,
193304,0.061947242,0.496129659,0.772846189,0.470552165,0.490974846,,,,,,,,0.030733864,,
193305,0.723780242,1.251282659,0.672878189,1.034717165,0.925803846,,,,,,,,0.905653665,,
193306,0.724073242,0.593956659,0.414451189,0.244957165,0.230361846,,,,,,,,0.430068124,,
193307,-0.040572758,-0.146493341,-0.093492811,-0.043757835,-0.070125154,,,,,,,,0.005943639,,
